time,magnetizing current,I1 A,I2 A,Q1,Q2,Q3,Q4
0.0,-2.463480219704527,15.27771414590161,124.18836055924297,1,0,0,1
2.5000000000000002e-08,-2.2831933309078796,15.491085834270441,124.41995415624825,1,0,0,1
5.0000000000000004e-08,-2.126947228371095,15.680672845571376,124.6533405175973,1,0,0,1
7.500000000000001e-08,-1.9868872753635105,15.85433584184985,124.88856182049352,1,0,0,1
1.0000000000000001e-07,-1.8620335806906276,16.013060979251716,125.12566191959641,1,0,0,1
1.2500000000000002e-07,-1.767400742102482,16.141809606002948,125.36447243673801,1,0,0,1
1.5000000000000002e-07,-1.6874380154519535,16.25611015726841,125.60483720904253,1,0,0,1
1.7500000000000002e-07,-1.6167364664819988,16.361375950077964,125.84678691591975,1,0,0,1
2.0000000000000002e-07,-1.5526025345686534,16.460305073741342,126.09035325816996,1,0,0,1
2.2500000000000002e-07,-1.493452751329419,16.55448567812571,126.3355690061859,1,0,0,1
2.5000000000000004e-07,-1.4382589875885556,16.64495073399963,126.58246805111729,1,0,0,1
2.75e-07,-1.3863074304649625,16.732419063709752,126.83108545922302,1,0,0,1
3.0000000000000004e-07,-1.3370778557870724,16.817416077021132,127.08145752965743,1,0,0,1
3.25e-07,-1.2901768874470172,16.900340520547136,127.33362185595907,1,0,0,1
3.5000000000000004e-07,-1.245298308656987,16.981504175848183,127.5876173915362,1,0,0,1
3.75e-07,-1.2021980901906242,17.061156841162337,127.84348451947072,1,0,0,1
4.0000000000000003e-07,-1.1606779543829768,17.139502778044694,128.1012651269937,1,0,0,1
4.2500000000000006e-07,-1.1205741509802798,17.216711946879727,128.36100268502003,1,0,0,1
4.5000000000000003e-07,-1.0817495527128431,17.292927923454076,128.62274233316845,1,0,0,1
4.7500000000000006e-07,-1.044087941642341,17.36827362560569,128.8865309707362,1,0,0,1
5.000000000000001e-07,-1.0074897855097944,17.442855550796708,129.1524173541455,1,0,0,1
5.250000000000001e-07,-0.9718690541490941,17.51676697462712,129.4204522014335,1,0,0,1
5.5e-07,-0.9371112679936661,17.59012991835168,129.6906883044174,1,0,0,1
5.75e-07,-0.9031463378713424,17.66302232630505,129.96318064923474,1,0,0,1
6.000000000000001e-07,-0.8699219966935916,17.735504652740065,130.2379865460356,1,0,0,1
6.25e-07,-0.8373915011042137,17.807586024227728,130.5148426773236,1,0,0,1
6.5e-07,-0.8055128451406786,17.879307791030982,130.79374445320164,1,0,0,1
6.750000000000001e-07,-0.7742481124837398,17.9507144280246,131.0747377835584,1,0,0,1
7.000000000000001e-07,-0.7435629385200399,18.021847107043865,131.35787031894733,1,0,0,1
7.25e-07,-0.7134260602555309,18.09274416035896,131.64319154430146,1,0,0,1
7.5e-07,-0.6838089371327758,18.163441474185845,131.93075287923034,1,0,0,1
7.750000000000001e-07,-0.6546854295424585,18.233972825525193,132.22060778547356,1,0,0,1
8.000000000000001e-07,-0.6260315246359909,18.304370172813144,132.51281188214395,1,0,0,1
8.25e-07,-0.5978251011910615,18.37466390873204,132.80742306946172,1,0,0,1
8.500000000000001e-07,-0.570045726931378,18.444883081890925,133.10450166175613,1,0,0,1
8.750000000000001e-07,-0.5426744829816966,18.51505559281784,133.40411053059677,1,0,0,1
9.000000000000001e-07,-0.5156938111406959,18.585208368718305,133.70631525901302,1,0,0,1
9.25e-07,-0.4890873804440836,18.65536752068005,134.01118430786892,1,0,0,1
9.500000000000001e-07,-0.46283997011786204,18.725558486394167,134.3187891955842,1,0,0,1
9.75e-07,-0.43693736652372517,18.795806160981005,134.6292046925331,1,0,0,1
1.0000000000000002e-06,-0.41136627210285076,18.866135018127334,134.94250903161128,1,0,0,1
1.0250000000000001e-06,-0.38611422465191697,18.936569223440106,135.25878413664415,1,0,0,1
